,threatInfo.threatId,threatInfo.threatName,threatInfo.classification,threatInfo.confidenceLevel,threatInfo.analystVerdict,threatInfo.createdAt,threatInfo.identifiedAt,threatInfo.updatedAt,indicatorList,indicatorListString,threatInfo.detectionType,action,threatInfo.sha1,engine
12080,1929132936577461161,ANONYMIZED,Malware,malicious,false_positive,2024-04-15T16:42:46.805137Z,2024-04-15T16:42:43.973000Z,2024-04-16T03:24:56.326432Z,"[1, 32, 29, 33, 24, 12]",1 12 24 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
1236,1646297390687837511,ANONYMIZED,Malware,suspicious,false_positive,2023-03-22T10:59:02.331873Z,2023-02-22T01:11:41.763000Z,2023-03-22T12:32:12.279801Z,"[1, 14, 12]",1 12 14,static,,ANONYMIZED,On-Write Static AI - Suspicious
10100,1905763681586173008,ANONYMIZED,Malware,suspicious,false_positive,2024-03-14T10:52:14.527796Z,2024-03-14T10:51:09.090000Z,2024-03-14T11:00:17.714831Z,"[145, 266, 153, 114, 62, 171, 169, 894, 951, 725, 126, 1273]",62 114 126 145 153 169 171 266 725 894 951 1273,dynamic,,ANONYMIZED,"Documents, Scripts"
353,1901272325513611390,ANONYMIZED,Virus,malicious,true_positive,2024-03-08T06:08:43.166195Z,2024-03-08T06:08:39.531000Z,2024-03-08T06:10:51.746198Z,"[24, 12]",12 24,static,quarantine,ANONYMIZED,On-Write Static AI
12033,1929128816176773100,ANONYMIZED,Malware,malicious,false_positive,2024-04-15T16:34:35.616664Z,2024-04-15T16:34:32.783000Z,2024-04-16T03:24:16.538840Z,"[32, 29, 33, 12]",12 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
9038,1884815610221233178,ANONYMIZED,Malware,suspicious,false_positive,2024-02-14T13:12:09.827700Z,2024-02-14T13:12:00.695000Z,2024-02-14T14:36:43.048715Z,"[1, 31, 33]",1 31 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
7482,1855812527044759392,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T12:48:12.887439Z,2024-01-05T12:39:42.467000Z,2024-01-05T13:15:46.630594Z,"[1, 31, 30, 29, 33, 12]",1 12 29 30 31 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
2487,1683364762422656092,ANONYMIZED,Rootkit,suspicious,false_positive,2023-05-12T14:25:17.382218Z,2023-05-12T14:25:16.870440Z,2023-05-12T14:34:53.853931Z,[937],937,dynamic,,ANONYMIZED,Application Control
3617,1710864730703899260,ANONYMIZED,Malware,suspicious,true_positive,2023-06-19T13:02:49.062476Z,2023-06-19T13:02:49.019000Z,2023-06-19T13:08:19.048933Z,"[41, 32, 29, 33]",29 32 33 41,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
12531,1934082244130027331,ANONYMIZED,Malware,malicious,true_positive,2024-04-22T12:36:10.252937Z,2024-04-22T12:36:09.583000Z,2024-04-22T12:45:25.392575Z,"[1, 31, 33, 24, 23]",1 23 24 31 33,static,quarantine,ANONYMIZED,On-Write Static AI
3574,1709294330112538050,ANONYMIZED,Malware,suspicious,false_positive,2023-06-17T09:02:42.725635Z,2023-06-17T09:02:42.036000Z,2023-06-17T10:02:53.972339Z,"[1, 31, 18]",1 18 31,static,,ANONYMIZED,On-Write Static AI - Suspicious
4192,1723787431205655494,ANONYMIZED,Malware,suspicious,false_positive,2023-07-07T08:57:55.007470Z,2023-07-07T08:57:54.890000Z,2023-07-07T09:27:05.957546Z,"[796, 311, 427]",311 427 796,dynamic,,ANONYMIZED,"Documents, Scripts"
12051,1929130355486465272,ANONYMIZED,Malware,malicious,false_positive,2024-04-15T16:37:39.115803Z,2024-04-15T16:37:35.451000Z,2024-04-16T03:24:13.928936Z,"[32, 29, 33, 12]",12 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
4740,1742799669530492417,ANONYMIZED,Malware,suspicious,false_positive,2023-08-02T14:31:50.433163Z,2023-08-02T14:31:50.050000Z,2023-08-02T16:20:56.179699Z,"[171, 121, 796, 427, 674, 434]",121 171 427 434 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
5336,1774699527572755876,ANONYMIZED,Malware,suspicious,false_positive,2023-09-15T14:51:09.847070Z,2023-09-15T14:51:09.395000Z,2023-09-15T15:57:23.776956Z,"[126, 43]",43 126,dynamic,,ANONYMIZED,On-Write Static AI - Suspicious
10697,1915496463848642607,ANONYMIZED,Malware,suspicious,false_positive,2024-03-27T21:09:32.591527Z,2024-03-27T21:09:30.887000Z,2024-03-27T21:51:43.481550Z,"[1, 31, 32, 33]",1 31 32 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
12892,1939137753522096986,ANONYMIZED,Malware,malicious,true_positive,2024-04-29T12:00:33.937898Z,2024-04-29T12:00:31.071000Z,2024-04-29T12:37:58.854632Z,"[32, 29, 33, 6]",6 29 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
6657,1842474773888258438,ANONYMIZED,Malware,suspicious,true_positive,2023-12-18T03:08:28.809682Z,2023-12-18T03:08:24.907000Z,2023-12-18T03:39:10.063459Z,"[32, 29, 33, 15, 12, 6]",6 12 15 29 32 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
3559,1708494658112955957,ANONYMIZED,Malware,suspicious,false_positive,2023-06-16T06:33:54.393737Z,2023-06-16T06:33:53.898000Z,2023-06-16T08:29:28.960674Z,"[29, 15, 12]",12 15 29,static,,ANONYMIZED,On-Write Static AI - Suspicious
2301,1680360436257922733,ANONYMIZED,Rootkit,suspicious,false_positive,2023-05-08T10:56:13.794529Z,2023-05-08T10:56:13.690676Z,2023-05-08T12:14:08.726701Z,[937],937,dynamic,,ANONYMIZED,Application Control
2380,1681694310225769518,ANONYMIZED,Malware,suspicious,false_positive,2023-05-10T07:06:23.961567Z,2023-05-10T07:06:22.061000Z,2023-05-10T07:13:04.249437Z,"[114, 62, 721, 427, 674, 269, 137, 434, 98, 171]",62 98 114 137 171 269 427 434 674 721,dynamic,,ANONYMIZED,"Documents, Scripts"
11954,1929123995159409447,ANONYMIZED,Malware,malicious,false_positive,2024-04-15T16:25:00.913913Z,2024-04-15T16:24:10.310000Z,2024-04-16T03:24:39.110033Z,"[32, 29, 33, 12, 6]",6 12 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
1142,1644772953499560120,ANONYMIZED,Infostealer,suspicious,false_positive,2023-03-20T08:30:15.260078Z,2023-03-20T08:30:11.952000Z,2023-03-20T08:52:48.936538Z,"[121, 796, 799, 427]",121 427 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
5905,1799893549785036044,ANONYMIZED,Application Control,suspicious,false_positive,2023-10-20T09:07:11.335638Z,2023-10-20T09:07:11.110214Z,2023-10-20T09:20:47.559043Z,[412],412,dynamic,,ANONYMIZED,Application Control
7445,1855812374414032960,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T12:47:54.693173Z,2024-01-05T12:40:13.254000Z,2024-01-05T13:14:51.501482Z,"[1, 31, 30, 29, 33, 12]",1 12 29 30 31 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
8970,1883431422984232388,ANONYMIZED,Malware,malicious,true_positive,2024-02-12T15:22:01.850023Z,2024-02-12T15:22:01.776000Z,2024-02-12T18:43:11.923966Z,"[24, 7, 6]",6 7 24,static,quarantine,ANONYMIZED,On-Write Static AI
1701,1659813060426439972,ANONYMIZED,Ransomware,suspicious,false_positive,2023-04-10T02:32:15.717273Z,2023-04-10T02:31:27.274000Z,2023-04-10T03:24:43.963764Z,"[298, 368, 437, 171, 427, 641]",171 298 368 427 437 641,dynamic,,ANONYMIZED,Behavioral AI
3822,1716388150091465234,ANONYMIZED,Malware,suspicious,false_positive,2023-06-27T03:56:51.962570Z,2023-06-27T03:56:51.661000Z,2023-06-27T04:09:48.919395Z,"[1, 6]",1 6,static,,ANONYMIZED,On-Write Static AI - Suspicious
10003,1904988121866467476,ANONYMIZED,Malware,malicious,false_positive,2024-03-13T09:11:20.609605Z,2024-03-13T09:11:19.650000Z,2024-03-13T09:14:23.657597Z,"[32, 29, 33, 12, 6]",6 12 29 32 33,static,unquarantine,ANONYMIZED,On-Write Static AI
6092,1810027459879785671,ANONYMIZED,Malware,suspicious,false_positive,2023-11-03T08:41:27.548427Z,2023-11-03T08:37:29.801000Z,2023-11-03T09:13:51.449218Z,"[796, 427, 674, 171, 137, 434]",137 171 427 434 674 796,dynamic,,ANONYMIZED,"Documents, Scripts"
3265,1700632724684142716,ANONYMIZED,Rootkit,suspicious,false_positive,2023-06-05T10:13:38.895448Z,2023-06-05T10:13:38.122697Z,2023-06-05T10:23:22.076241Z,[937],937,dynamic,,ANONYMIZED,Application Control
3025,1695360864669470212,ANONYMIZED,Malware,suspicious,false_positive,2023-05-29T03:39:24.208558Z,2023-05-29T03:39:23.191000Z,2023-05-29T03:56:07.377786Z,"[796, 799, 121, 427, 171, 104, 674]",104 121 171 427 674 796 799,dynamic,,ANONYMIZED,"Documents, Scripts"
1768,1662130373644548246,ANONYMIZED,Malware,suspicious,false_positive,2023-04-13T07:16:20.981327Z,2023-04-13T07:16:20.837661Z,2023-04-13T09:21:18.279068Z,[942],942,dynamic,,ANONYMIZED,Behavioral AI
10810,1918229414215081705,ANONYMIZED,Malware,malicious,true_positive,2024-03-31T15:39:25.661899Z,2024-03-31T15:39:24.244000Z,2024-03-31T15:41:03.840502Z,"[1, 31, 30, 32, 29, 33, 18, 12]",1 12 18 29 30 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
8637,1875748684242390588,ANONYMIZED,Malware,malicious,true_positive,2024-02-02T00:57:48.022579Z,2024-02-02T00:57:43.485000Z,2024-02-02T01:33:08.315597Z,"[1, 31, 32, 29, 33]",1 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
4129,1723161932818341999,ANONYMIZED,Malware,suspicious,true_positive,2023-07-06T12:15:09.791253Z,2023-07-06T12:15:09.550000Z,2023-07-06T12:22:35.190646Z,"[41, 32, 29, 33, 10]",10 29 32 33 41,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
10360,1912133279054824210,ANONYMIZED,Malware,malicious,false_positive,2024-03-23T05:47:29.720456Z,2024-03-23T05:47:29.284000Z,2024-03-23T07:47:05.330482Z,"[636, 635, 757, 92, 121, 266, 916, 360, 1303, 1271, 437]",92 121 266 360 437 635 636 757 916 1271 1303,dynamic,quarantine,ANONYMIZED,Behavioral AI
6922,1849950616446639158,ANONYMIZED,Malware,suspicious,false_positive,2023-12-28T10:41:38.688660Z,2023-12-28T10:41:37.464000Z,2023-12-28T11:45:58.925392Z,"[1, 6]",1 6,static,,ANONYMIZED,On-Write Static AI - Suspicious
35,1896237449631469624,ANONYMIZED,Malware,malicious,true_positive,2024-03-01T07:25:19.188806Z,2024-03-01T07:25:16.874000Z,2024-03-01T08:25:30.769837Z,"[32, 29, 33]",29 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
